# secret_scan_inherited.txt — itemized, dated register of pre-existing findings.
#
# Created 2026-07-30 by lane B-SECRETSCAN-SCOPE (SAMĀPTI), under DVĀRAPĀLA
# RULING 3: "Risk is a wider scan surfacing more pre-existing findings —
#  disclosed and itemized as inherited, never silenced by re-narrowing scope."
#
# This file is the disclosure. It is NOT a suppression list in the usual sense:
#   · A finding NOT listed here fails the build. Always. No exceptions.
#   · A listed finding whose occurrence count GREW fails the build.
#   · A listed finding past its expiry date fails the build.
#   · A listed finding that no longer matches is reported RESOLVED; delete the
#     line (fatal under SECRET_SCAN_STRICT_REGISTER=1).
# The register can only shrink or expire. It cannot quietly absorb a new leak.
#
# It records NO credential material — only path, pattern id, and count. Never
# paste a credential value into this file.
#
# FORMAT (pipe-separated, 6 fields):
#   relpath | pattern_id | expected_count | owner_lane | expiry(YYYY-MM-DD) | reason
#
# ─────────────────────────────────────────────────────────────────────────────
# CENSUS PROVENANCE (DVA RULING 30 — "a census that cannot say what it measured
# is not a census")
#
#   Measured against:  origin/main @ 5f5033a55def0b9006aec29a66946b7a57f25121
#   Re-verified:       2026-07-30, in a freshly-cut detached worktree at that
#                      same SHA, independent of the authoring worktree.
#   Totals:            31 register rows = 28 credential-bearing files
#                      (CRED-A 9 + CRED-B 17 + CRED-C 2) + 3 Firebase-key rows.
#
# Re-take this census with `secret_scan.sh`, which now prints the commit it
# scanned and whether the worktree was clean, so the numbers below can always be
# tied back to a specific tree.
#
# Correction, 2026-07-30: an earlier revision of this header's prose said CRED-B
# was 15 files. The register DATA always listed 16 and the 27-file total always
# reconciled; only the hand-written summary line was off by one. No file was
# ever missing from the register, and the census was not taken against a stale
# tree — origin/main has not moved from 5f5033a5 for the duration of this lane.
#
# DVA RULING 82 (reopen cycle 1 of 3): VER's independent fresh census against
# CURRENT origin/main (post-cut, this branch's own base has since moved) found
# a 28th credential-bearing file landed after this lane's cut:
# platform/python-sidecar/tests/l5/test_mi_bhara_circularity_guard_w2.py,
# same CRED-B DSN literal, same pg_conn_string pattern. The detector already
# catches it correctly (proof the repair works) — this register was simply one
# row behind. Added below as CRED-B's 17th row so branch protection's
# strict:true rebase-before-merge does not surface it as an unregistered
# surprise. No credential value recorded, per this file's own discipline.
#
# ─────────────────────────────────────────────────────────────────────────────
# INCIDENT SAMAPTI-SEC-001 — plaintext production DB credentials for role
# `amjis_app` on the `amjis` database (reached at 127.0.0.1:5433 via the Cloud
# SQL Auth Proxy). Three DISTINCT literals are present in the tree:
#
#   CRED-A  40 chars  9 files   — the literal DVA RULING 1/2 inventoried.
#   CRED-B  32 chars  17 files  — NOT previously inventoried. Surfaced by this
#                                 widening (16 at lane cut, +1 per RULING 82).
#                                 Same role, same host, same database.
#                                 One of the 17, v13_production_gate.py, was
#                                 inside the OLD allowlist all along and was
#                                 missed on SHAPE, not scope.
#   CRED-C  31 chars  2 files   — length matches the "REAL LIVE SECRET (31
#                                 chars)" that modernization unit 0b.2 reported
#                                 removing from platform/scripts/ in 2026-05-25.
#                                 It survived in two files the old 8-target
#                                 allowlist could not see. This is the scope gap
#                                 producing a second failure from one root cause.
#
# Rotation authority is withheld from the swarm (DVA RULING 1, option (c)).
# Redaction of CRED-A's 9 files is lane B-SECRET-REDACT (DVA RULING 2).
# CRED-B and CRED-C are OUTSIDE B-SECRET-REDACT's chartered 9-file scope and
# are escalated to DVA — see the FINAL_SUMMARY QUESTIONS for this lane.
# ─────────────────────────────────────────────────────────────────────────────

# ── CRED-A · the 9 files DVA RULING 2 chartered to B-SECRET-REDACT ───────────
00_ARCHITECTURE/CONDUCTOR/build_orchestrator/operator_runs/2026-05-30/.psql_url | pg_conn_string | 1 | B-SECRET-REDACT | 2026-08-29 | SAMAPTI-SEC-001 CRED-A; operator-run connection-string artifact
00_ARCHITECTURE/CONDUCTOR/build_orchestrator/scripts/apply_migration.sh | env_password_assign | 1 | B-SECRET-REDACT | 2026-08-29 | SAMAPTI-SEC-001 CRED-A; shell DB_PASS assignment to a literal
00_ARCHITECTURE/CONDUCTOR/build_orchestrator/scripts/hard_gates_check.sh | quoted_password_kv | 1 | B-SECRET-REDACT | 2026-08-29 | SAMAPTI-SEC-001 CRED-A; inline psycopg2.connect password kwarg
00_ARCHITECTURE/CONDUCTOR/build_orchestrator/scripts/preflight.sh | env_password_assign | 1 | B-SECRET-REDACT | 2026-08-29 | SAMAPTI-SEC-001 CRED-A; shell PGPASSWORD assignment to a literal
00_ARCHITECTURE/CONDUCTOR/build_orchestrator/session_queue.yaml | env_password_assign | 11 | B-SECRET-REDACT | 2026-08-29 | SAMAPTI-SEC-001 CRED-A; 11 PGPASSWORD assignments in queued commands
platform/migrations/__tests__/test_mig_124.py | json_password_kv | 1 | B-SECRET-REDACT | 2026-08-29 | SAMAPTI-SEC-001 CRED-A; conn dict "password" entry
platform/migrations/__tests__/test_mig_125.py | json_password_kv | 1 | B-SECRET-REDACT | 2026-08-29 | SAMAPTI-SEC-001 CRED-A; conn dict "password" entry
platform/migrations/__tests__/test_mig_126.py | json_password_kv | 1 | B-SECRET-REDACT | 2026-08-29 | SAMAPTI-SEC-001 CRED-A; conn dict "password" entry
platform/migrations/__tests__/test_mig_127.py | json_password_kv | 1 | B-SECRET-REDACT | 2026-08-29 | SAMAPTI-SEC-001 CRED-A; conn dict "password" entry

# ── CRED-B · 17 files, NOT in any prior inventory · ESCALATED TO DVA ────────
docs/superpowers/plans/2026-06-17-ga-nakshatra-l1.md | pg_conn_string | 8 | DVA-ESCALATION-SEC-002 | 2026-08-29 | SAMAPTI-SEC-001 CRED-B; plan doc pasting live DSN 8x
docs/superpowers/plans/2026-06-21-l2-bodha-writer-fixes-and-b6-hardening.md | pg_conn_string | 1 | DVA-ESCALATION-SEC-002 | 2026-08-29 | SAMAPTI-SEC-001 CRED-B; plan doc pasting live DSN
platform/python-sidecar/brahmagyan/l0_embed_runner.py | pg_conn_string | 1 | DVA-ESCALATION-SEC-002 | 2026-08-29 | SAMAPTI-SEC-001 CRED-B; default DSN fallback literal
platform/python-sidecar/build_ephemeris_1900_2150.py | pg_conn_string | 1 | DVA-ESCALATION-SEC-002 | 2026-08-29 | SAMAPTI-SEC-001 CRED-B; default DSN fallback literal
platform/python-sidecar/routers/permission_curve.py | pg_conn_string | 1 | DVA-ESCALATION-SEC-002 | 2026-08-29 | SAMAPTI-SEC-001 CRED-B; SERVING-PATH router default DSN literal
platform/python-sidecar/routers/sutravali.py | pg_conn_string | 1 | DVA-ESCALATION-SEC-002 | 2026-08-29 | SAMAPTI-SEC-001 CRED-B; SERVING-PATH router default DSN literal
platform/python-sidecar/run_bo_samskara_parallel.py | pg_conn_string | 1 | DVA-ESCALATION-SEC-002 | 2026-08-29 | SAMAPTI-SEC-001 CRED-B; default DSN fallback literal
platform/python-sidecar/test_savepoint_failure_path.py | pg_conn_string | 1 | DVA-ESCALATION-SEC-002 | 2026-08-29 | SAMAPTI-SEC-001 CRED-B; test DSN literal
platform/python-sidecar/tests/l2/test_b6_eval_harness.py | pg_conn_string | 1 | DVA-ESCALATION-SEC-002 | 2026-08-29 | SAMAPTI-SEC-001 CRED-B; test DSN literal
platform/python-sidecar/tests/l3/test_ka_dasha_kala.py | pg_conn_string | 1 | DVA-ESCALATION-SEC-002 | 2026-08-29 | SAMAPTI-SEC-001 CRED-B; test DSN literal
platform/python-sidecar/tests/l3/test_ka_jivana_parva_circularity_guard.py | pg_conn_string | 1 | DVA-ESCALATION-SEC-002 | 2026-08-29 | SAMAPTI-SEC-001 CRED-B; test DSN literal
