"asset_id","layer","sort_order","sanskrit_name","english_name","english_description","storage_type","target_table","count_sql","size_sql","target_floor","expected_volume_formula","expected_volume_inputs","volume_explanation","depends_on","scope","is_active","estimated_seconds","created_at","clear_tables","asset_type","layer_name","layer_index","provides_apis","health_probe","catalog_status","rebuild_on_probe_fail","integrity_check_sql","has_substeps","asset_kind","service_health","last_invoked_at","last_selftest_at","selftest_detail","has_writer","writer_timeout_seconds","domain","rung","superseded_by","data_disposition"
"bg_class_lifetime_counts","brahmagyan","21","Jīvana-Ghaṭanā-Saṅkhyā","Event-Class Lifetime Counts","ṢAḌ-DARŚANA W2 (ADJUDICATION-2): N_e — the expected lifetime count of each brahma_event_ontology event class over a 100-year modelled timeline from birth, assuming survival. The chart-INDEPENDENT structural baseline λ⁰_e of the Kāla Kṣetra hazard field. Every value is Tier N-i: a published demographic / actuarial / epidemiological statistic carrying publisher, edition, year, indicator id, geography+cohort and a retrievable URL/DOI, together with the arithmetic converting it to a per-100-year count — or Tier N-ii, a stated arithmetic identity over such a value. Classical-text counts are FORECLOSED (chart-conditional; already carried by P_e) and cohort/LEL-derived counts are FORECLOSED by the circularity guard. A class with no defensible source is NOT seeded and is honestly skipped by ka_kshetra with no_class_prior_row — honest-empty per class, never a fabricated baseline.","postgres_table","brahma_class_priors","SELECT COUNT(*) FROM brahma_class_priors WHERE fact_kind='lifetime_count_per_100y'","","0","","","","[]","global","True","","2026-08-02 05:18:21.811074+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","600","shared","R0","",""
"bg_class_priors","brahmagyan","16","Pūrva-pakṣa-mānāḥ","Class Priors","Ranked salience class-prior weights for composite query-time ranking. 4 axes: signal_type_class × source_subsystem × signal_tradition × varga × graha×domain. Seeded from W1 judgment package v1.0; versioned; L5-calibratable.","postgres_table","brahma_class_priors","SELECT COUNT(*) FROM brahma_class_priors","SELECT pg_total_relation_size('brahma_class_priors')","","","","","[]","global","True","","2026-07-03 11:18:14.918529+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_cohort","brahmagyan","20","Pratirūpa Samūha","Synthetic Reference Cohort","Synthetic (not real-person) reference population of ~10,000 birth charts' Lahiri-sidereal graha + Lagna positions (sign/nakshatra grain) — the statistical base-rate population later waves compare a real chart against for rarity scoring. ṢAḌ-DARŚANA campaign item 22.","postgres_table","bg_synthetic_cohort","SELECT COUNT(*) FROM bg_synthetic_cohort","SELECT pg_total_relation_size('bg_synthetic_cohort')","10000","COHORT_SIZE","{""COHORT_SIZE"": 10000}","10,000 synthetic birth charts, uniform-random over 1900-2099, fixed RNG seed. See bg_cohort.py module docstring for full sampling methodology.","[]","global","True","","2026-07-29 11:39:33.177623+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","600","shared","R0","",""
"bg_compendium_index","brahmagyan","12","Anukrama","Compendium Index","Cross-reference index over the 15 classical texts — chapter summaries, topic-coverage map, significance scores","postgres_table","brahma_compendium_index","SELECT count(*) FROM brahma_compendium_index","SELECT pg_total_relation_size('brahma_compendium_index')","9538","","","9,538 index entries = honest count from actual build. Per design §3.12.","[""bg_texts"", ""bg_reference""]","global","True","","2026-06-07 22:30:11.207696+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_concordance","brahmagyan","8","Samanvaya","Concordance","Cross-school chunk-pointer index per (topic, school) — chunk refs for L1+ synthesis at query-time","postgres_table","classical_attributions","SELECT count(*) FROM classical_attributions","SELECT pg_total_relation_size('classical_attributions')","800","ACTUAL(bg_rules) * CONCORDANCE_DENSITY","","800 = topic×school concordance rows. Cross-product metric: cardinality is topic_count × school_count, not chunk-proportional. Chunk-pointer index per (topic, school); synthesis at L1+ query-time.","[""bg_rules""]","global","True","","2026-06-07 11:43:43.845873+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_dasha_systems","brahmagyan","10","Daśā-paddhati","Dasha Systems","Classical dasha system definitions — sequence rules, computation methods, conditions for use","postgres_table","brahma_dasha_systems","SELECT count(*) FROM brahma_dasha_systems","SELECT pg_total_relation_size('brahma_dasha_systems')","18","","","18 named dasha systems (Vimshottari, Yogini, Chara, Kalachakra, etc.) per actual build count.","[""bg_ontology""]","global","True","","2026-06-07 22:30:11.207696+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_dignity_reference","brahmagyan","66","Graha-avasthā","Planetary Dignity & State Reference","Planetary dignity and state reference: exaltation/debilitation/own-sign boundaries, naisargika friendship matrix, avastha schemes, combustion orbs, motion state thresholds. 5 sub-tables, 151 total rows.","postgres_table","bg_dignity_reference","SELECT (SELECT COUNT(*) FROM bg_dignity_reference) + (SELECT COUNT(*) FROM bg_avastha_schemes) + (SELECT COUNT(*) FROM bg_combustion_orbs) + (SELECT COUNT(*) FROM bg_graha_naisargika_friendship) + (SELECT COUNT(*) FROM bg_motion_state_thresholds) AS count","","151","","","151 rows: bg_dignity_reference(9) + bg_avastha_schemes(35) + bg_combustion_orbs(8) + bg_graha_naisargika_friendship(72) + bg_motion_state_thresholds(27).","[]","global","True","","2026-06-17 14:45:24.881637+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_doshas","brahmagyan","11","Doṣa-kośa","Dosha Catalog","Classical dosha definitions — formation rules, effects, severity, cancellation conditions","postgres_table","brahma_dosha_catalog","SELECT count(*) FROM brahma_dosha_catalog","SELECT pg_total_relation_size('brahma_dosha_catalog')","50","","","Catalog of named dosha patterns (Manglik, Kala-sarpa, Kemadruma, etc.) per design §3.11","[""bg_ontology""]","global","True","","2026-06-07 22:30:11.207696+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_ephemeris","brahmagyan","1","Graha-sphuṭa","Ephemeris (Graha Sphuṭa)","Swiss Ephemeris DE441 — raw astronomical positions for all grahas","postgres_table","ephemeris_daily","SELECT count(*) FROM ephemeris_daily","SELECT pg_total_relation_size('ephemeris_daily')","825084","GRAHAS * DATE_RANGE_DAYS","{""GRAHAS"": 9, ""end_date"": ""2150-12-31"", ""start_date"": ""1900-01-01"", ""DATE_RANGE_DAYS"": 91676}","825,084 rows = 91,676 days (1900-01-01 to 2150-12-31) × 9 grahas (Sun, Moon, Mars, Mercury, Jupiter, Venus, Saturn, Rahu, Ketu). Raw tropical stored; 5 ayanamshas derived at read time. Source: pyswisseph DE441 (==2.10.3.2).","[]","global","True","","2026-06-07 11:43:43.845873+00:00","","data","Brahmagyan","L0","","","CURRENT","False","","False","data","","","","","True","10800","shared","R0","",""
"bg_ephemeris_engine","brahmagyan","14","Druk Ephemeris","Ephemeris Engine","Swiss Ephemeris (pyswisseph) with DE441 JPL file providing sidereal planetary positions from 9999 BCE to 9999 CE. Foundation for all computational Jyotish in MARSYS-JIS. Lahiri ayanamsha canonical. MEAN_NODE convention: Rahu (ascending node).","service","","","","","","","","[]","global","True","","2026-06-09 19:14:14.241298+00:00","","service","Brahmagyan","L0","[{""api"": ""swisseph.calc_ut"", ""description"": ""Planetary longitude at Julian Day (UT) \u2014 wraps pyswisseph swe.calc_ut""}, {""api"": ""swisseph.houses_ex"", ""description"": ""House cusps + Lagna at JD with geographic coordinates""}]","{""note"": ""JD = 1984-02-05 10:43 IST \u2192 UTC. Sun in Makara (sign 10) sidereal Lahiri."", ""probe_type"": ""ephemeris_engine"", ""forensic_jd"": 2445701.948264, ""expected_sun_approximate_sign"": 10}","CURRENT","False","","False","service","","","","","False","600","shared","R0","",""
