chart_id,discovery_id,discovery_class,statement,evidence_refs,strength,n_support,confidence_band,activation_status,citation_required,citation_ref,discovery_formula_ver
482012f1-710e-4a25-994a-93821f5871aa,retro_3e96c6da-3ad6-5329-a40b-0b9240a1cbdb-corr-congenital,retrodiction,Blind retrodiction for 3e96c6da-3ad6-5329-a40b-0b9240a1cbdb-corr-congenital (psychological) with T−90d cutoff 1983-11-07. Top-k anchors matched: 0.,[],0,0,,candidate,f,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,retro_0d03e02a-e619-52b5-8a78-8f26e13ba125,retrodiction,Blind retrodiction for 0d03e02a-e619-52b5-8a78-8f26e13ba125 (creative) with T−90d cutoff 1993-04-02. Top-k anchors matched: 0.,[],0,0,,candidate,f,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,retro_64c475da-5248-5332-9127-9331fae79f23,retrodiction,Blind retrodiction for 64c475da-5248-5332-9127-9331fae79f23 (health) with T−90d cutoff 1995-04-02. Top-k anchors matched: 0.,[],0,0,,candidate,f,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,retro_3e96c6da-3ad6-5329-a40b-0b9240a1cbdb,retrodiction,Blind retrodiction for 3e96c6da-3ad6-5329-a40b-0b9240a1cbdb (psychological) with T−90d cutoff 1995-04-02. Top-k anchors matched: 0.,[],0,0,,candidate,f,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,retro_3a37fa76-cfc1-599b-bbdf-97cff784f5ac,retrodiction,Blind retrodiction for 3a37fa76-cfc1-599b-bbdf-97cff784f5ac (relationship) with T−90d cutoff 1997-11-18. Top-k anchors matched: 3.,"[{""rank"": 1, ""domain"": ""relationship"", ""anchor_id"": ""a4a13518-b245-4f2a-9799-c3dfa079e369"", ""posterior"": 0.02, ""rank_credit"": 1.0, ""window_start"": ""1993-11-09""}, {""rank"": 2, ""domain"": ""relationship"", ""anchor_id"": ""88d9b7da-01fa-4664-b1b6-60ab7be996af"", ""posterior"": 0.02, ""rank_credit"": 0.6309, ""window_start"": ""1995-08-09""}, {""rank"": 3, ""domain"": ""relationship"", ""anchor_id"": ""f0b8c354-bffd-4e2e-a42a-3d59d8cc669e"", ""posterior"": 0.02, ""rank_credit"": 0.5, ""window_start"": ""1993-03-05""}]",0.02,3,,candidate,f,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,retro_d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035,retrodiction,Blind retrodiction for d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035 (spiritual) with T−90d cutoff 1998-04-02. Top-k anchors matched: 0.,[],0,0,,candidate,f,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,retro_d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035-corr-2001-initiation,retrodiction,Blind retrodiction for d5db1b9a-b8c5-5b90-9641-c9ae9b1c2035-corr-2001-initiation (spiritual) with T−90d cutoff 2000-10-03. Top-k anchors matched: 0.,[],0,0,,candidate,f,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,retro_62f0460d-0cf1-5eab-bedc-47ecfcb04657,retrodiction,Blind retrodiction for 62f0460d-0cf1-5eab-bedc-47ecfcb04657 (spiritual) with T−90d cutoff 2002-04-02. Top-k anchors matched: 0.,[],0,0,,candidate,f,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,retro_123eee97-8885-5d50-b0f1-94281f8f2d49,retrodiction,Blind retrodiction for 123eee97-8885-5d50-b0f1-94281f8f2d49 (psychological) with T−90d cutoff 2002-04-02. Top-k anchors matched: 0.,[],0,0,,candidate,f,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,retro_4a1b1dc0-df38-56d8-a2c8-0383bb2acc7c,retrodiction,Blind retrodiction for 4a1b1dc0-df38-56d8-a2c8-0383bb2acc7c (education) with T−90d cutoff 2003-03-17. Top-k anchors matched: 0.,[],0,0,,candidate,f,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,retro_cd68bc5c-c5fc-5914-bd95-e18ba639a5dc,retrodiction,Blind retrodiction for cd68bc5c-c5fc-5914-bd95-e18ba639a5dc (education) with T−90d cutoff 2004-03-03. Top-k anchors matched: 0.,[],0,0,,candidate,f,,mi_pariksha_v2.0
482012f1-710e-4a25-994a-93821f5871aa,retro_fd04fecc-21f7-5dfd-b68b-f1a6f1cd6bfa,retrodiction,Blind retrodiction for fd04fecc-21f7-5dfd-b68b-f1a6f1cd6bfa (career) with T−90d cutoff 2007-03-12. Top-k anchors matched: 0.,[],0,0,,candidate,f,,mi_pariksha_v2.0
